347,928,3
347,660,2
347,241,3
347,222,4
347,12,3
347,403,5
347,943,4
347,588,3
347,831,1
347,879,3
347,286,3
347,239,5
347,1035,3
347,475,4
347,147,4
347,692,4
347,827,1
347,1283,1
347,237,4
347,926,1
347,246,4
347,240,5
347,300,5
347,271,1
347,202,4
347,357,5
347,79,5
347,186,5
347,148,3
347,328,4
347,411,5
347,100,3
347,291,5
347,123,3
347,550,5
347,249,5
347,173,2
347,595,2
347,77,5
347,721,5
347,427,4
347,686,5
347,418,4
347,1011,3
347,235,2
347,118,4
347,460,3
347,655,5
347,68,5
347,188,5
347,230,4
347,70,2
347,369,4
347,284,3
347,87,3
347,137,2
347,260,1
347,210,4
347,22,5
347,65,2
347,163,4
347,226,4
347,98,5
347,318,3
347,696,4
347,742,5
347,4,4
347,1291,1
